city,forecast_date,clear_sky_uv_index,uv_index_issued,percent_probability_clear,percent_probability_scattered,percent_probability_broken,total_ozone_amount,serialid
"ALBUQUERQUE, NM",2/6/2002,4.23,4.13,0.84,0.15,0.01,275.4,388
"ALBUQUERQUE, NM",2/7/2002,4.29,4.19,0.84,0.16,0,276.1,389
"ALBUQUERQUE, NM",2/8/2002,4.11,3.91,0.66,0.28,0.07,290.8,390
"ALBUQUERQUE, NM",2/9/2002,3.56,3.33,0.61,0.29,0.1,334,391
"ALBUQUERQUE, NM",2/10/2002,4.15,4.09,0.93,0.07,0,295.3,392
"ALBUQUERQUE, NM",2/11/2002,4.07,3.95,0.79,0.21,0,305.2,393
"ALBUQUERQUE, NM",2/12/2002,3.57,2.92,0.31,0.37,0.19,347.5,394
"ALBUQUERQUE, NM",2/13/2002,3.85,3.33,0.39,0.39,0.14,329.3,395
"ALBUQUERQUE, NM",2/14/2002,4.33,3.43,0.17,0.41,0.3,301.6,396
"ALBUQUERQUE, NM",2/15/2002,4.37,3.8,0.43,0.37,0.12,303.5,397
"ALBUQUERQUE, NM",2/16/2002,4.74,3.93,0.29,0.39,0.22,287.3,398
"ALBUQUERQUE, NM",2/17/2002,4.48,3.93,0.25,0.52,0.22,305.3,399
"ALBUQUERQUE, NM",2/18/2002,4.03,2.85,0.01,0.41,0.36,339.9,400
"ALBUQUERQUE, NM",2/19/2002,4.41,3.95,0.43,0.37,0.18,318.1,401
"ALBUQUERQUE, NM",2/20/2002,4.77,3.96,0.3,0.33,0.29,300.5,402
"ALBUQUERQUE, NM",2/21/2002,4.13,3.93,0.77,0.16,0.05,345.8,403
"ALBUQUERQUE, NM",2/22/2002,5.07,4.85,0.68,0.29,0.03,294.1,404
"ALBUQUERQUE, NM",2/23/2002,4.98,4.69,0.59,0.34,0.07,302.4,405
"ALBUQUERQUE, NM",2/24/2002,4.92,4.62,0.64,0.25,0.11,310.5,406
"ALBUQUERQUE, NM",2/25/2002,5.46,5.17,0.69,0.22,0.09,287.7,407
"ALBUQUERQUE, NM",2/26/2002,5.35,5.07,0.69,0.23,0.08,296.5,408
"ALBUQUERQUE, NM",2/27/2002,5.38,5.08,0.64,0.28,0.08,298.7,409
"ALBUQUERQUE, NM",2/28/2002,5.15,4.89,0.63,0.31,0.07,314.7,410
"ALBUQUERQUE, NM",3/1/2002,4.65,3.77,0.17,0.47,0.26,347.8,411
"ALBUQUERQUE, NM",3/2/2002,4.46,3.75,0.34,0.36,0.21,365.6,412
"ALBUQUERQUE, NM",3/3/2002,4.69,4.45,0.67,0.26,0.07,354.3,413
"ALBUQUERQUE, NM",3/4/2002,5.26,5.09,0.72,0.27,0.02,325.2,414
"ALBUQUERQUE, NM",3/5/2002,5.41,5.21,0.7,0.28,0.03,321.6,415
"ALBUQUERQUE, NM",3/6/2002,4.97,4.64,0.54,0.37,0.09,350.1,416
"ALBUQUERQUE, NM",3/7/2002,5.49,4.76,0.17,0.58,0.24,325.2,417
"ALBUQUERQUE, NM",3/8/2002,5.78,5.1,0.39,0.38,0.2,315.6,418
"ALBUQUERQUE, NM",3/10/2002,7.75,6.93,0.53,0.3,0.11,252.3,419
"ALBUQUERQUE, NM",3/11/2002,5.8,5.57,0.75,0.21,0.04,325.8,420
"ALBUQUERQUE, NM",3/12/2002,6.84,6.42,0.56,0.38,0.06,287.1,421
"ALBUQUERQUE, NM",3/13/2002,6.02,5.5,0.44,0.42,0.14,323.6,422
"ALBUQUERQUE, NM",3/14/2002,6.05,5.34,0.44,0.35,0.16,325.6,423
"ALBUQUERQUE, NM",3/15/2002,5.79,5.14,0.52,0.31,0.1,342.2,424
"ALBUQUERQUE, NM",3/16/2002,6.16,5.57,0.45,0.4,0.13,328.1,425
"ALBUQUERQUE, NM",3/17/2002,6.23,5.61,0.42,0.41,0.15,328.2,426
"ALBUQUERQUE, NM",3/18/2002,6.36,4.77,0.08,0.45,0.29,326.6,427
"ALBUQUERQUE, NM",3/19/2002,7.39,5.66,0.31,0.23,0.26,290.9,428
"ALBUQUERQUE, NM",3/20/2002,7.55,7.27,0.73,0.25,0.02,288.7,429
"ALBUQUERQUE, NM",3/21/2002,6.79,6.61,0.8,0.2,0,318.7,430
"ALBUQUERQUE, NM",3/22/2002,7.12,6.22,0.37,0.41,0.17,309.6,431
"ALBUQUERQUE, NM",3/23/2002,7.05,6.33,0.32,0.51,0.17,315.4,432
"ALBUQUERQUE, NM",3/24/2002,6.11,5.11,0.21,0.49,0.23,359.4,433
"ALBUQUERQUE, NM",3/25/2002,6.84,5.19,0.2,0.34,0.27,329.4,434
"ALBUQUERQUE, NM",3/26/2002,8.08,6.87,0.23,0.52,0.19,289.5,435
"ALBUQUERQUE, NM",3/27/2002,7.99,6.98,0.39,0.4,0.15,294.6,436
"ALBUQUERQUE, NM",3/28/2002,8.04,7.5,0.55,0.36,0.09,295.9,437
"ALBUQUERQUE, NM",3/29/2002,7.06,3.71,0.03,0.15,0.25,333.3,438
"ALBUQUERQUE, NM",3/30/2002,7.5,6.43,0.37,0.39,0.16,319.4,439
"ALBUQUERQUE, NM",3/31/2002,7.53,6.76,0.52,0.34,0.08,321.1,440
"ALBUQUERQUE, NM",4/1/2002,7.84,7.22,0.45,0.44,0.11,313.4,441
"ALBUQUERQUE, NM",4/2/2002,8,7.56,0.56,0.41,0.03,310.6,442
"ALBUQUERQUE, NM",4/3/2002,8.67,7.56,0.27,0.53,0.16,292.6,443
"ALBUQUERQUE, NM",4/4/2002,9.63,8.64,0.37,0.5,0.1,270.1,444
"ALBUQUERQUE, NM",4/5/2002,8.88,8.1,0.44,0.46,0.08,291.5,445
"ALBUQUERQUE, NM",4/6/2002,8.02,6.87,0.2,0.58,0.17,319.7,446
"ALBUQUERQUE, NM",4/7/2002,7.81,5.35,0.12,0.32,0.25,329.4,447
"ALBUQUERQUE, NM",4/8/2002,9.59,8.89,0.47,0.47,0.05,279.2,448
"ALBUQUERQUE, NM",4/9/2002,9.22,8.21,0.32,0.54,0.11,291,449
"ALBUQUERQUE, NM",4/10/2002,8.58,7.53,0.24,0.59,0.14,311.4,450
"ALBUQUERQUE, NM",4/11/2002,8.42,7.65,0.41,0.48,0.09,318.6,451
"ALBUQUERQUE, NM",4/12/2002,9.01,7.6,0.17,0.57,0.2,302.7,452
"ALBUQUERQUE, NM",4/13/2002,9.04,8.14,0.4,0.47,0.1,303.6,453
"ALBUQUERQUE, NM",4/14/2002,9.96,9.5,0.62,0.37,0.01,281.9,454
"ALBUQUERQUE, NM",4/15/2002,8.4,6.95,0.09,0.6,0.25,326.9,455
"ALBUQUERQUE, NM",4/16/2002,7.55,6.92,0.5,0.39,0.09,360.1,456
"ALBUQUERQUE, NM",4/17/2002,8.89,8.16,0.51,0.38,0.09,315.7,457
"ALBUQUERQUE, NM",4/18/2002,10.25,9.47,0.54,0.37,0.07,282,458
"ALBUQUERQUE, NM",4/19/2002,10.06,9.06,0.43,0.43,0.11,288.2,459
"ALBUQUERQUE, NM",4/20/2002,11.05,10.04,0.49,0.38,0.1,268.1,460
"ALBUQUERQUE, NM",4/21/2002,10.47,9.82,0.59,0.35,0.05,281.9,461
"ALBUQUERQUE, NM",4/22/2002,10.61,9.95,0.55,0.39,0.06,280.1,462
"ALBUQUERQUE, NM",4/23/2002,9.47,8.55,0.39,0.48,0.11,309.4,463
"ALBUQUERQUE, NM",4/24/2002,9.54,9.12,0.64,0.35,0.01,308.9,464
"ALBUQUERQUE, NM",4/25/2002,10.8,8.36,0,0.5,0.41,279.7,465
"ALBUQUERQUE, NM",4/26/2002,10.22,9.1,0.38,0.47,0.11,294.2,466
"ALBUQUERQUE, NM",4/27/2002,10.82,9.83,0.47,0.41,0.09,281.8,467
"ALBUQUERQUE, NM",4/28/2002,10.33,9.93,0.7,0.29,0.01,294.3,468
"ALBUQUERQUE, NM",4/29/2002,11.71,9.38,0,0.61,0.32,266.5,469
"ALBUQUERQUE, NM",4/30/2002,11.08,9.81,0.35,0.46,0.16,279.9,470
"ALBUQUERQUE, NM",5/1/2002,10.2,9.61,0.61,0.34,0.04,300.9,471
"ALBUQUERQUE, NM",5/3/2002,10.49,9.99,0.61,0.38,0.01,296.2,472
"ALBUQUERQUE, NM",5/4/2002,10.97,10.09,0.49,0.42,0.07,286.6,473
"ALBUQUERQUE, NM",5/5/2002,10.79,9.8,0.47,0.41,0.09,291.5,474
"ALBUQUERQUE, NM",5/6/2002,9.7,9.17,0.62,0.34,0.03,319.2,475
"ALBUQUERQUE, NM",5/7/2002,9.5,9.1,0.67,0.32,0.01,325.9,476
"ALBUQUERQUE, NM",5/8/2002,9.07,8.41,0.5,0.43,0.06,340.1,477
"ALBUQUERQUE, NM",5/9/2002,9.51,8.62,0.41,0.47,0.1,327.5,478
"ALBUQUERQUE, NM",5/10/2002,9.31,7.97,0.22,0.52,0.22,334.7,479
"ALBUQUERQUE, NM",5/11/2002,10.22,9.73,0.64,0.33,0.03,310.8,480
"ALBUQUERQUE, NM",5/12/2002,10.82,10.19,0.56,0.39,0.05,296.7,481
"ALBUQUERQUE, NM",5/13/2002,11.7,10.79,0.5,0.42,0.06,278.7,482
"ALBUQUERQUE, NM",5/14/2002,10.23,7.57,0.03,0.37,0.46,312.4,483
"ALBUQUERQUE, NM",5/15/2002,9.38,8.37,0.36,0.49,0.12,336.8,484
"ALBUQUERQUE, NM",5/16/2002,9.78,9.37,0.65,0.35,0,325.4,485
"ALBUQUERQUE, NM",5/17/2002,10.62,10.03,0.56,0.41,0.03,304.6,486
"ALBUQUERQUE, NM",5/18/2002,10.39,8.84,0.17,0.59,0.19,311,487
"ALBUQUERQUE, NM",5/19/2002,9.61,8.12,0.12,0.63,0.2,332.6,488
"ALBUQUERQUE, NM",5/20/2002,9.68,8.66,0.34,0.51,0.13,331.4,489
"ALBUQUERQUE, NM",5/21/2002,9.91,9.21,0.53,0.39,0.07,325.2,490
"ALBUQUERQUE, NM",5/22/2002,10.61,9.88,0.55,0.37,0.07,308,491
"ALBUQUERQUE, NM",5/23/2002,10.04,9.31,0.51,0.41,0.07,322.6,492
"ALBUQUERQUE, NM",5/24/2002,9.57,8.94,0.55,0.39,0.05,336.7,493
"ALBUQUERQUE, NM",5/25/2002,10.2,9.61,0.58,0.39,0.02,319.5,494
"ALBUQUERQUE, NM",5/26/2002,9.7,8.19,0.12,0.63,0.2,333.6,495
"ALBUQUERQUE, NM",5/27/2002,9.89,8.64,0.23,0.58,0.16,328.6,496
"ALBUQUERQUE, NM",5/28/2002,10.39,9.38,0.35,0.52,0.12,316.1,497
"ALBUQUERQUE, NM",5/29/2002,10.87,9.72,0.29,0.56,0.14,304.6,498
"ALBUQUERQUE, NM",5/30/2002,10.71,9.72,0.37,0.51,0.11,308.8,499
"ALBUQUERQUE, NM",5/31/2002,10.38,9.36,0.37,0.5,0.11,317.4,500
"ALBUQUERQUE, NM",6/1/2002,10.48,8.89,0.12,0.63,0.21,315.2,501
"ALBUQUERQUE, NM",6/2/2002,10.03,9.18,0.44,0.45,0.1,326.7,502
"ALBUQUERQUE, NM",6/3/2002,10.03,8.32,0.05,0.65,0.25,327,503
"ALBUQUERQUE, NM",6/4/2002,9.81,8.84,0.37,0.5,0.11,333.6,504
"ALBUQUERQUE, NM",6/5/2002,11.01,8.47,0.18,0.38,0.27,303,505
"ALBUQUERQUE, NM",6/6/2002,10.82,10.13,0.55,0.4,0.04,307.9,506
"ALBUQUERQUE, NM",6/7/2002,10.45,9.57,0.43,0.47,0.09,317.3,507
"ALBUQUERQUE, NM",6/8/2002,10.22,9.11,0.32,0.52,0.14,323,508
"ALBUQUERQUE, NM",6/9/2002,10.75,10.2,0.62,0.34,0.04,310.2,509
"ALBUQUERQUE, NM",6/11/2002,11.22,9.72,0.25,0.53,0.18,299.1,510
"ALBUQUERQUE, NM",6/12/2002,12.24,11.31,0.5,0.41,0.08,278.7,511
"ALBUQUERQUE, NM",6/13/2002,12.74,12.31,0.73,0.27,0,269.6,512
"ALBUQUERQUE, NM",6/14/2002,11.69,10.83,0.5,0.42,0.07,289.7,513
"ALBUQUERQUE, NM",6/15/2002,11.26,10.84,0.69,0.31,0,298.5,514
"ALBUQUERQUE, NM",6/16/2002,11.81,11.24,0.61,0.37,0.02,287.4,515
"ALBUQUERQUE, NM",6/17/2002,11.79,11.34,0.69,0.31,0,288,516
"ALBUQUERQUE, NM",6/18/2002,10.6,10.2,0.69,0.31,0,314.5,517
"ALBUQUERQUE, NM",6/19/2002,10.91,10.51,0.7,0.3,0,307.1,518
"ALBUQUERQUE, NM",6/20/2002,11.34,10.5,0.49,0.43,0.07,297.1,519
"ALBUQUERQUE, NM",6/21/2002,11.5,10.49,0.42,0.46,0.11,293.8,520
"ALBUQUERQUE, NM",6/22/2002,11.73,11.02,0.59,0.36,0.04,289.2,521
"ALBUQUERQUE, NM",6/23/2002,11.9,11.38,0.66,0.32,0.02,285.5,522
"ALBUQUERQUE, NM",6/24/2002,11.67,11.23,0.69,0.31,0,290.1,523
"ALBUQUERQUE, NM",6/25/2002,11.42,10.54,0.48,0.43,0.08,295,524
"ALBUQUERQUE, NM",6/26/2002,11.2,9.82,0.26,0.55,0.16,299.5,525
"ALBUQUERQUE, NM",6/27/2002,10.96,9.29,0.11,0.64,0.21,305.2,526
"ALBUQUERQUE, NM",6/28/2002,11.31,9.6,0.12,0.63,0.21,297.1,527
"ALBUQUERQUE, NM",6/29/2002,11.62,10.08,0.2,0.59,0.18,290.7,528
"ALBUQUERQUE, NM",6/30/2002,11.97,11.09,0.5,0.42,0.07,283.5,529
"ALBUQUERQUE, NM",7/1/2002,10.98,9.75,0.31,0.52,0.15,304.1,530
"ALBUQUERQUE, NM",7/2/2002,10.49,9.3,0.29,0.54,0.15,315.7,531
"ALBUQUERQUE, NM",7/3/2002,10.65,9.21,0.19,0.59,0.19,311.6,532
"ALBUQUERQUE, NM",7/4/2002,10.93,8.43,0.06,0.44,0.39,304.5,533
"ALBUQUERQUE, NM",7/5/2002,11.44,9.07,0.06,0.49,0.37,293,534
"ALBUQUERQUE, NM",7/6/2002,11.57,8.99,0.05,0.44,0.42,290.2,535
"ALBUQUERQUE, NM",7/7/2002,11.84,10.29,0.22,0.57,0.18,284.5,536
"ALBUQUERQUE, NM",7/8/2002,12.23,9.48,0.08,0.43,0.38,276.3,537
"ALBUQUERQUE, NM",7/9/2002,11.38,9.6,0.13,0.61,0.21,293.3,538
"ALBUQUERQUE, NM",7/10/2002,11.54,9.56,0.12,0.56,0.26,289.9,539
"ALBUQUERQUE, NM",7/11/2002,11.66,10.18,0.24,0.56,0.17,287,540
"ALBUQUERQUE, NM",7/12/2002,10.94,9.93,0.38,0.5,0.11,301.7,541
"ALBUQUERQUE, NM",7/13/2002,10.76,9.87,0.43,0.48,0.08,305.8,542
"ALBUQUERQUE, NM",7/14/2002,10.72,9.38,0.25,0.56,0.16,306.3,543
"ALBUQUERQUE, NM",7/15/2002,10.75,9.22,0.18,0.59,0.19,305.3,544
"ALBUQUERQUE, NM",7/16/2002,10.57,8.44,0.11,0.45,0.36,309.2,545
"ALBUQUERQUE, NM",7/17/2002,11.04,7.16,0.09,0.2,0.38,297.6,546
"ALBUQUERQUE, NM",7/18/2002,11.2,8.91,0.09,0.46,0.37,293.8,547
"ALBUQUERQUE, NM",7/19/2002,10.99,8.92,0.09,0.53,0.31,297.9,548
"ALBUQUERQUE, NM",7/20/2002,11.27,9.23,0.04,0.63,0.27,291.6,549
"ALBUQUERQUE, NM",7/21/2002,11.31,9.69,0.24,0.49,0.23,290.2,550
"ALBUQUERQUE, NM",7/22/2002,11.33,10.03,0.34,0.48,0.15,289.1,551
"ALBUQUERQUE, NM",7/23/2002,11.52,8.34,0.13,0.34,0.3,284.4,552
"ALBUQUERQUE, NM",7/24/2002,11.29,9.71,0.19,0.59,0.18,288.6,553
"ALBUQUERQUE, NM",7/25/2002,11.36,9.81,0.22,0.56,0.18,286.4,554
"ALBUQUERQUE, NM",7/26/2002,11.37,9.93,0.24,0.56,0.17,285.6,555
"ALBUQUERQUE, NM",7/27/2002,11.15,9.85,0.31,0.51,0.15,289.6,556
"ALBUQUERQUE, NM",7/28/2002,10.61,9.95,0.57,0.38,0.04,300.8,557
"ALBUQUERQUE, NM",7/29/2002,10.71,10.16,0.6,0.37,0.03,297.9,558
"ALBUQUERQUE, NM",7/30/2002,11.37,9.56,0.15,0.56,0.24,283.1,559
"ALBUQUERQUE, NM",7/31/2002,11.37,10.3,0.4,0.48,0.1,282.2,560
"ALBUQUERQUE, NM",8/2/2002,11.23,8.74,0.04,0.46,0.41,283.4,561
"ALBUQUERQUE, NM",8/3/2002,10.56,8.16,0.04,0.45,0.41,297,562
"ALBUQUERQUE, NM",8/4/2002,11.02,8.76,0.07,0.49,0.36,286.1,563
"ALBUQUERQUE, NM",8/5/2002,10.68,9.41,0.29,0.53,0.15,292.5,564
"ALBUQUERQUE, NM",8/6/2002,10.27,8.6,0.19,0.5,0.25,300.8,565
"ALBUQUERQUE, NM",8/7/2002,10.32,8.95,0.24,0.55,0.17,298.9,566
"ALBUQUERQUE, NM",8/8/2002,10.32,8.78,0.22,0.51,0.22,297.9,567
"ALBUQUERQUE, NM",8/9/2002,10.35,9.24,0.36,0.49,0.12,296.3,568
"ALBUQUERQUE, NM",8/10/2002,10.26,9.65,0.58,0.38,0.03,297.1,569
"ALBUQUERQUE, NM",8/11/2002,10.11,9.42,0.54,0.39,0.06,299.4,570
"ALBUQUERQUE, NM",8/12/2002,9.97,9.66,0.7,0.31,0,301.6,571
"ALBUQUERQUE, NM",8/13/2002,9.76,9.19,0.56,0.39,0.05,305.9,572
"ALBUQUERQUE, NM",8/14/2002,10.24,9.78,0.65,0.33,0.02,292.7,573
"ALBUQUERQUE, NM",8/15/2002,10.04,9.39,0.56,0.38,0.05,296,574
"ALBUQUERQUE, NM",8/16/2002,9.55,8.92,0.52,0.41,0.07,307.5,575
"ALBUQUERQUE, NM",8/17/2002,9.94,8.95,0.36,0.49,0.14,295.9,576
"ALBUQUERQUE, NM",8/18/2002,10.12,8.86,0.27,0.53,0.17,290.3,577
"ALBUQUERQUE, NM",8/19/2002,9.67,8.35,0.22,0.56,0.18,299.7,578
"ALBUQUERQUE, NM",8/20/2002,9.67,7.93,0.13,0.52,0.28,298.1,579
"ALBUQUERQUE, NM",8/21/2002,9.58,8.82,0.52,0.38,0.08,298.7,580
"ALBUQUERQUE, NM",8/22/2002,10.22,9.67,0.6,0.36,0.04,281.9,581
"ALBUQUERQUE, NM",8/23/2002,10.28,9.86,0.68,0.31,0.01,278.7,582
"ALBUQUERQUE, NM",8/24/2002,10.36,10.06,0.78,0.22,0,275,583
"ALBUQUERQUE, NM",8/25/2002,10.48,10.2,0.81,0.19,0,271.1,584
"ALBUQUERQUE, NM",8/26/2002,10.17,9.81,0.72,0.28,0,276.1,585
"ALBUQUERQUE, NM",8/27/2002,9.97,9.47,0.63,0.33,0.04,279.3,586
"ALBUQUERQUE, NM",8/28/2002,9.63,8.54,0.34,0.49,0.14,286.1,587
"ALBUQUERQUE, NM",8/29/2002,9.78,7.52,0.03,0.47,0.39,280.5,588
"ALBUQUERQUE, NM",8/30/2002,9.76,8.91,0.46,0.43,0.09,278.8,589
"ALBUQUERQUE, NM",8/31/2002,9.77,8.73,0.37,0.48,0.12,276.3,590
"ALBUQUERQUE, NM",9/1/2002,9.89,8.58,0.21,0.58,0.18,271.8,591
"ALBUQUERQUE, NM",9/2/2002,9.36,8.12,0.2,0.59,0.18,282.6,592
"ALBUQUERQUE, NM",9/3/2002,9.29,7.81,0.15,0.56,0.24,282.2,593
"ALBUQUERQUE, NM",9/4/2002,9.29,8.43,0.4,0.47,0.12,280.1,594
"ALBUQUERQUE, NM",9/5/2002,9.39,8.66,0.47,0.44,0.08,275.1,595
"ALBUQUERQUE, NM",9/6/2002,9.65,8.68,0.37,0.49,0.12,267.3,596
"ALBUQUERQUE, NM",9/7/2002,9.17,7.83,0.17,0.58,0.21,276.3,597
"ALBUQUERQUE, NM",9/8/2002,8.77,7.35,0.18,0.5,0.27,285.2,598
"ALBUQUERQUE, NM",9/9/2002,9.01,7.29,0.07,0.55,0.31,275.9,599
"ALBUQUERQUE, NM",9/10/2002,9.28,6.74,0,0.39,0.45,267.4,600
"ALBUQUERQUE, NM",9/11/2002,9.23,5.18,0,0.14,0.4,266.2,601
"ALBUQUERQUE, NM",9/12/2002,8.54,7.51,0.32,0.48,0.17,281.5,602
"ALBUQUERQUE, NM",9/13/2002,8.03,7.11,0.32,0.49,0.17,293.7,603
"ALBUQUERQUE, NM",9/14/2002,7.82,7.25,0.48,0.43,0.09,297.1,604
"ALBUQUERQUE, NM",9/15/2002,7.8,7.36,0.61,0.33,0.06,295.4,605
"ALBUQUERQUE, NM",9/16/2002,8.06,7.62,0.64,0.31,0.04,284.8,606
"ALBUQUERQUE, NM",9/17/2002,8.12,7.59,0.56,0.37,0.06,280.2,607
"ALBUQUERQUE, NM",9/18/2002,8.08,7.32,0.43,0.41,0.15,278.6,608
"ALBUQUERQUE, NM",9/19/2002,7.15,6.85,0.68,0.3,0.02,305.6,609
"ALBUQUERQUE, NM",9/20/2002,7.82,7.45,0.64,0.33,0.03,280.7,610
"ALBUQUERQUE, NM",9/21/2002,7.84,7.61,0.78,0.22,0,277,611
"ALBUQUERQUE, NM",9/22/2002,7.53,7.03,0.58,0.34,0.07,283.8,612
"ALBUQUERQUE, NM",9/23/2002,7.32,6.96,0.62,0.35,0.03,287.6,613
"ALBUQUERQUE, NM",9/24/2002,7.42,7.07,0.63,0.35,0.02,281.2,614
"ALBUQUERQUE, NM",9/25/2002,7.75,6.9,0.33,0.52,0.12,268.2,615
"ALBUQUERQUE, NM",9/26/2002,7.68,6.8,0.33,0.49,0.15,267.2,616
"ALBUQUERQUE, NM",9/27/2002,7.39,6.59,0.34,0.49,0.15,272.7,617
"ALBUQUERQUE, NM",9/28/2002,7.42,6.3,0.16,0.57,0.23,269,618
"ALBUQUERQUE, NM",9/29/2002,7.51,6.38,0.23,0.49,0.23,263.4,619
"ALBUQUERQUE, NM",9/30/2002,7.44,6.42,0.25,0.51,0.2,262.5,620
"ALBUQUERQUE, NM",10/1/2002,7.44,6.61,0.42,0.4,0.14,259.5,621
"ALBUQUERQUE, NM",10/2/2002,6.91,6.16,0.44,0.38,0.14,272.3,622
"ALBUQUERQUE, NM",10/3/2002,7.02,6.06,0.4,0.37,0.15,265.8,623
"ALBUQUERQUE, NM",10/4/2002,6.58,5.93,0.5,0.35,0.11,277.1,624
"ALBUQUERQUE, NM",10/5/2002,6.5,5.57,0.23,0.53,0.19,276.3,625
"ALBUQUERQUE, NM",10/6/2002,6.29,5.85,0.71,0.21,0.03,280.7,626
"ALBUQUERQUE, NM",10/7/2002,6.26,3.59,0.07,0.18,0.26,278.3,627
"ALBUQUERQUE, NM",10/8/2002,6.03,5.04,0.31,0.38,0.22,283.7,628
"ALBUQUERQUE, NM",10/9/2002,6.18,5.71,0.63,0.28,0.05,274.1,629
"ALBUQUERQUE, NM",10/10/2002,5.99,5.63,0.57,0.37,0.06,278.2,630
"ALBUQUERQUE, NM",10/11/2002,6.05,5.52,0.4,0.47,0.13,272.1,631
"ALBUQUERQUE, NM",10/12/2002,6.09,5.7,0.56,0.36,0.08,267.6,632
"ALBUQUERQUE, NM",10/13/2002,5.73,4.35,0.16,0.38,0.28,277.7,633
"ALBUQUERQUE, NM",10/14/2002,5.49,4.66,0.35,0.37,0.2,285,634
"ALBUQUERQUE, NM",10/15/2002,5.75,4.69,0.29,0.39,0.19,270,635
"ALBUQUERQUE, NM",10/16/2002,5.43,4.78,0.5,0.3,0.13,279.7,636
"ALBUQUERQUE, NM",10/17/2002,5.2,3.61,0.06,0.34,0.34,286.1,637
"ALBUQUERQUE, NM",10/18/2002,4.7,3.31,0.16,0.32,0.23,307.7,638
"ALBUQUERQUE, NM",10/19/2002,4.67,4.01,0.44,0.29,0.19,305.7,639
"ALBUQUERQUE, NM",10/20/2002,4.94,4.34,0.38,0.45,0.11,287.3,640
"ALBUQUERQUE, NM",10/21/2002,5.21,4.03,0.14,0.42,0.29,270.8,641
"ALBUQUERQUE, NM",10/22/2002,4.92,4.16,0.29,0.44,0.19,280.5,642
"ALBUQUERQUE, NM",10/23/2002,4.82,4.08,0.32,0.45,0.13,282,643
"ALBUQUERQUE, NM",10/24/2002,4.49,3.21,0.22,0.29,0.2,295.4,644
"ALBUQUERQUE, NM",10/25/2002,4.6,3.83,0.21,0.52,0.18,285.5,645
"ALBUQUERQUE, NM",10/26/2002,4.64,2.84,0,0.25,0.37,278.6,646
"ALBUQUERQUE, NM",10/27/2002,4.45,3.48,0.18,0.41,0.26,285.4,647
"ALBUQUERQUE, NM",10/28/2002,4.13,3.48,0.34,0.37,0.2,299.2,648
"ALBUQUERQUE, NM",10/29/2002,3.95,3.32,0.31,0.38,0.23,307.9,649
"ALBUQUERQUE, NM",10/30/2002,4.24,3.78,0.51,0.32,0.11,285.6,650
"ALBUQUERQUE, NM",10/31/2002,4.17,3.7,0.49,0.35,0.09,286.2,651
"ALBUQUERQUE, NM",11/1/2002,4.24,3.16,0.03,0.5,0.29,277.8,652
"ALBUQUERQUE, NM",11/2/2002,4.06,3.3,0.21,0.44,0.24,285,653
"ALBUQUERQUE, NM",11/3/2002,4.21,3.72,0.37,0.45,0.14,272.5,654
"ALBUQUERQUE, NM",11/4/2002,4.31,2.77,0,0.28,0.4,263.6,655
"ALBUQUERQUE, NM",11/5/2002,3.99,3.86,0.81,0.16,0.03,277.5,656
"ALBUQUERQUE, NM",11/6/2002,4.1,3.99,0.82,0.18,0,267.6,657
"ALBUQUERQUE, NM",11/7/2002,3.93,3.63,0.57,0.32,0.09,273.4,658
"ALBUQUERQUE, NM",11/8/2002,3.63,3.23,0.37,0.42,0.2,290,659
"ALBUQUERQUE, NM",11/9/2002,3.7,2.99,0.37,0.29,0.18,281.6,660
"ALBUQUERQUE, NM",11/10/2002,3.52,2.66,0.19,0.34,0.28,290.9,661
"ALBUQUERQUE, NM",11/11/2002,3.26,2.93,0.47,0.36,0.14,306.8,662
"ALBUQUERQUE, NM",11/12/2002,3.43,3.33,0.85,0.14,0,290.4,663
"ALBUQUERQUE, NM",11/13/2002,3.51,2.99,0.31,0.44,0.17,280.6,664
"ALBUQUERQUE, NM",11/14/2002,3.47,2.96,0.35,0.4,0.17,280.1,665
"ALBUQUERQUE, NM",11/15/2002,3.14,2.84,0.61,0.23,0.1,301.3,666
"ALBUQUERQUE, NM",11/16/2002,3.45,3.25,0.64,0.29,0.06,273.9,667
"ALBUQUERQUE, NM",11/17/2002,3.48,3.33,0.66,0.3,0.05,268.7,668
"ALBUQUERQUE, NM",11/18/2002,3.13,2.89,0.67,0.21,0.08,292.3,669
"ALBUQUERQUE, NM",11/19/2002,3.1,2.92,0.61,0.32,0.07,291.8,670
"ALBUQUERQUE, NM",11/20/2002,3.19,3,0.64,0.26,0.1,281,671
"ALBUQUERQUE, NM",11/21/2002,3.19,2.96,0.53,0.37,0.09,278.2,672
"ALBUQUERQUE, NM",11/22/2002,3.1,3.01,0.83,0.16,0,282.7,673
"ALBUQUERQUE, NM",11/23/2002,3.31,3,0.58,0.28,0.09,264.7,674
"ALBUQUERQUE, NM",11/24/2002,2.95,2.72,0.7,0.18,0.07,289.6,675
"ALBUQUERQUE, NM",11/25/2002,2.88,2.12,0.02,0.48,0.31,292.2,676
"ALBUQUERQUE, NM",11/26/2002,2.59,1.67,0.13,0.23,0.26,317.5,677
"ALBUQUERQUE, NM",11/27/2002,2.48,2.21,0.41,0.42,0.13,326.4,678
"ALBUQUERQUE, NM",11/28/2002,2.39,2.33,0.86,0.13,0.01,336.5,679
